,date,low,high,open,close,volume
0,2020-01-01 00:00:00,128.12,128.54,128.54,128.34,1910.23945475
1,2020-01-01 01:00:00,128.32,130.14,128.33,130.14,4916.26114071
2,2020-01-01 02:00:00,129.91,130.5,130.23,130.37,3044.7458358
3,2020-01-01 03:00:00,129.38,130.44,130.38,129.57,3829.07914065
4,2020-01-01 04:00:00,129.5,130.0,129.58,129.56,5416.86864899
5,2020-01-01 05:00:00,129.47,129.94,129.55,129.83,1789.72782679
6,2020-01-01 06:00:00,129.82,130.25,129.83,130.0,909.71828672
7,2020-01-01 07:00:00,129.8,130.25,130.0,129.87,866.22584185
8,2020-01-01 08:00:00,129.61,130.01,129.87,130.01,1034.71834475
9,2020-01-01 09:00:00,129.96,130.22,130.02,129.98,830.42917385
10,2020-01-01 10:00:00,129.88,130.33,129.98,130.33,564.36166566
11,2020-01-01 11:00:00,130.23,131.42,130.33,130.36,1857.75926611
12,2020-01-01 12:00:00,130.36,131.31,130.38,131.28,1688.6394726
13,2020-01-01 13:00:00,131.04,132.08,131.28,131.41,4327.96619463
14,2020-01-01 14:00:00,130.93,132.05,131.36,131.66,1087.60675341
15,2020-01-01 15:00:00,131.29,132.15,131.71,131.75,1277.48157701
16,2020-01-01 16:00:00,131.51,132.56,131.73,132.55,2050.91384464
17,2020-01-01 17:00:00,131.94,132.68,132.56,131.97,1846.20527873
18,2020-01-01 18:00:00,131.24,132.14,131.97,131.64,2025.07846725
19,2020-01-01 19:00:00,131.15,131.72,131.55,131.34,1278.7266515
20,2020-01-01 20:00:00,131.23,131.87,131.45,131.73,1233.76265075
21,2020-01-01 21:00:00,130.97,131.99,131.81,131.41,8899.99013475
22,2020-01-01 22:00:00,129.36,131.41,131.41,129.77,3165.85896442
23,2020-01-01 23:00:00,129.24,130.27,129.78,130.19,1660.13038997
24,2020-01-02 00:00:00,129.67,130.18,130.14,130.0,2310.92264453
25,2020-01-02 01:00:00,129.69,130.0,130.0,129.76,819.75671348
26,2020-01-02 02:00:00,128.28,129.76,129.76,129.21,2467.13864111
27,2020-01-02 03:00:00,128.36,129.19,129.19,128.56,1231.62472474
28,2020-01-02 04:00:00,128.21,129.25,128.51,129.12,1201.78263409
29,2020-01-02 05:00:00,128.78,129.19,129.02,129.08,666.48023803
30,2020-01-02 06:00:00,128.59,129.44,129.07,128.78,690.31159846
31,2020-01-02 07:00:00,128.41,129.07,128.79,128.65,526.01618701
32,2020-01-02 08:00:00,128.61,129.7,128.61,129.68,1259.46806283
33,2020-01-02 09:00:00,129.07,129.67,129.67,129.46,404.71275703
34,2020-01-02 10:00:00,129.28,129.7,129.45,129.39,1033.0567624
35,2020-01-02 11:00:00,128.97,129.43,129.33,129.16,579.74515922
36,2020-01-02 12:00:00,129.06,129.52,129.16,129.51,697.75596192
37,2020-01-02 13:00:00,128.45,129.53,129.51,128.97,1297.98204062
38,2020-01-02 14:00:00,128.81,129.45,128.97,129.03,1452.04115127
