,time,low,high,open,close
0,2021-11-01 00:00:00+00:00,1.9434,1.9706,1.9704,1.9629
1,2021-11-01 01:00:00+00:00,1.9452,2.0,1.9629,1.9734
2,2021-11-01 02:00:00+00:00,1.9588,1.9838,1.9734,1.9838
3,2021-11-01 03:00:00+00:00,1.9336,1.9563,1.9838,1.9336
4,2021-11-01 04:00:00+00:00,1.9286,1.9633,1.9336,1.9286
5,2021-11-01 05:00:00+00:00,1.9197,1.9367,1.9286,1.9337
6,2021-11-01 06:00:00+00:00,1.9206,1.9411,1.9337,1.9327
7,2021-11-01 07:00:00+00:00,1.9267,1.9614,1.9327,1.9437
8,2021-11-01 08:00:00+00:00,1.9485,1.9708,1.9437,1.9545
9,2021-11-01 09:00:00+00:00,1.9772,1.9879,1.9545,1.9772
10,2021-11-01 10:00:00+00:00,1.9813,2.029,1.9772,1.9936
11,2021-11-01 11:00:00+00:00,1.9835,1.9952,1.9936,1.9844
12,2021-11-01 12:00:00+00:00,1.9465,2.0115,1.9844,1.9465
13,2021-11-01 13:00:00+00:00,1.9668,1.9874,1.9465,1.9725
14,2021-11-01 14:00:00+00:00,1.9497,1.9749,1.9725,1.9497
15,2021-11-01 15:00:00+00:00,1.9495,1.9868,1.9497,1.9868
16,2021-11-01 16:00:00+00:00,1.9578,1.9836,1.9868,1.9836
17,2021-11-01 17:00:00+00:00,1.9391,1.9835,1.9836,1.9556
18,2021-11-01 18:00:00+00:00,1.946,1.9794,1.9556,1.946
19,2021-11-01 19:00:00+00:00,1.9382,1.9659,1.946,1.9394
20,2021-11-01 20:00:00+00:00,1.9301,1.9487,1.9394,1.9301
21,2021-11-01 21:00:00+00:00,1.9181,1.9488,1.9301,1.9357
22,2021-11-01 22:00:00+00:00,1.9316,1.9654,1.9357,1.9463
23,2021-11-01 23:00:00+00:00,1.9192,1.9665,1.9463,1.9439
24,2021-11-02 00:00:00+00:00,1.9427,1.9686,1.9439,1.9469
25,2021-11-02 01:00:00+00:00,1.9395,1.9671,1.9469,1.9671
26,2021-11-02 02:00:00+00:00,1.914,1.9742,1.9671,1.9373
27,2021-11-02 03:00:00+00:00,1.9377,1.9437,1.9373,1.9377
28,2021-11-02 04:00:00+00:00,1.9168,1.9593,1.9377,1.9473
29,2021-11-02 05:00:00+00:00,1.9355,1.9759,1.9473,1.9538
30,2021-11-02 06:00:00+00:00,1.9347,1.9518,1.9538,1.9347
31,2021-11-02 07:00:00+00:00,1.9355,1.9646,1.9347,1.9646
32,2021-11-02 08:00:00+00:00,1.9566,1.9899,1.9646,1.9815
33,2021-11-02 09:00:00+00:00,1.9496,1.9764,1.9815,1.9508
34,2021-11-02 10:00:00+00:00,1.9488,1.9571,1.9508,1.9571
35,2021-11-02 11:00:00+00:00,1.9502,1.9817,1.9571,1.9723
36,2021-11-02 12:00:00+00:00,1.9554,1.9747,1.9723,1.9704
37,2021-11-02 13:00:00+00:00,1.9436,1.9738,1.9704,1.9636
38,2021-11-02 14:00:00+00:00,1.9396,2.0121,1.9636,1.9931
39,2021-11-02 15:00:00+00:00,1.9744,1.9907,1.9931,1.9765
40,2021-11-02 16:00:00+00:00,1.9775,2.0209,1.9765,2.0209
41,2021-11-02 17:00:00+00:00,1.9555,2.0139,2.0209,1.9876
42,2021-11-02 18:00:00+00:00,1.9818,1.9924,1.9876,1.9857
43,2021-11-02 19:00:00+00:00,1.9736,2.0055,1.9857,1.9792
44,2021-11-02 20:00:00+00:00,1.961,1.9786,1.9792,1.9774
45,2021-11-02 21:00:00+00:00,1.9657,1.9787,1.9774,1.9667
46,2021-11-02 22:00:00+00:00,1.9414,1.9946,1.9667,1.9629
47,2021-11-02 23:00:00+00:00,1.9616,1.9925,1.9629,1.9616
48,2021-11-03 00:00:00+00:00,1.9565,1.9733,1.9616,1.9733
49,2021-11-03 01:00:00+00:00,1.9604,1.9638,1.9733,1.9638
50,2021-11-03 02:00:00+00:00,1.9581,1.9924,1.9638,1.9623
51,2021-11-03 03:00:00+00:00,1.9352,1.9573,1.9623,1.9573
52,2021-11-03 04:00:00+00:00,1.9275,1.9825,1.9573,1.9275
53,2021-11-03 05:00:00+00:00,1.9549,1.9846,1.9275,1.97
54,2021-11-03 06:00:00+00:00,1.9898,2.0596,1.97,2.0319
55,2021-11-03 07:00:00+00:00,2.0178,2.073,2.0319,2.0666
56,2021-11-03 08:00:00+00:00,2.0666,2.0835,2.0666,2.0835
57,2021-11-03 09:00:00+00:00,2.0788,2.1347,2.0835,2.0895
58,2021-11-03 10:00:00+00:00,2.0778,2.1464,2.0895,2.0926
59,2021-11-03 11:00:00+00:00,2.0978,2.1364,2.0926,2.1323
60,2021-11-03 12:00:00+00:00,2.1097,2.1487,2.1323,2.1188
61,2021-11-03 13:00:00+00:00,2.0366,2.1391,2.1188,2.0579
62,2021-11-03 14:00:00+00:00,2.0427,2.0696,2.0579,2.0427
63,2021-11-03 15:00:00+00:00,2.0297,2.0525,2.0427,2.0499
64,2021-11-03 16:00:00+00:00,2.0347,2.061,2.0499,2.0347
65,2021-11-03 17:00:00+00:00,2.0424,2.0967,2.0347,2.0459
66,2021-11-03 18:00:00+00:00,2.0182,2.0667,2.0459,2.0546
67,2021-11-03 19:00:00+00:00,2.0753,2.1006,2.0546,2.0926
68,2021-11-03 20:00:00+00:00,2.0615,2.0948,2.0926,2.0624
69,2021-11-03 21:00:00+00:00,2.0678,2.1114,2.0624,2.1114
70,2021-11-03 22:00:00+00:00,2.0765,2.1164,2.1114,2.0765
71,2021-11-03 23:00:00+00:00,2.0655,2.0736,2.0765,2.0655
72,2021-11-04 00:00:00+00:00,2.0395,2.0659,2.0655,2.0605
73,2021-11-04 01:00:00+00:00,2.0488,2.0934,2.0605,2.054
74,2021-11-04 02:00:00+00:00,2.0195,2.0736,2.054,2.0507
75,2021-11-04 03:00:00+00:00,2.0439,2.0699,2.0507,2.0699
76,2021-11-04 04:00:00+00:00,2.0095,2.0633,2.0699,2.0103
77,2021-11-04 05:00:00+00:00,2.0215,2.0537,2.0103,2.0527
78,2021-11-04 06:00:00+00:00,2.0346,2.0546,2.0527,2.0546
79,2021-11-04 07:00:00+00:00,2.0158,2.0627,2.0546,2.0476
80,2021-11-04 08:00:00+00:00,1.9982,2.0471,2.0476,2.0396
81,2021-11-04 09:00:00+00:00,1.9849,2.0414,2.0396,2.0087
82,2021-11-04 10:00:00+00:00,2.0101,2.0271,2.0087,2.0271
83,2021-11-04 11:00:00+00:00,2.0212,2.0552,2.0271,2.0344
84,2021-11-04 12:00:00+00:00,2.0132,2.0542,2.0344,2.0132
85,2021-11-04 13:00:00+00:00,2.0098,2.0467,2.0132,2.0236
86,2021-11-04 14:00:00+00:00,2.0177,2.0257,2.0236,2.0178
87,2021-11-04 15:00:00+00:00,1.985,2.0377,2.0178,2.0129
88,2021-11-04 16:00:00+00:00,1.9617,2.0167,2.0129,1.9713
89,2021-11-04 17:00:00+00:00,1.959,1.9916,1.9713,1.9632
90,2021-11-04 18:00:00+00:00,1.9635,1.9806,1.9632,1.9635
91,2021-11-04 19:00:00+00:00,1.9575,2.0118,1.9635,1.97
92,2021-11-04 20:00:00+00:00,1.972,2.0068,1.97,1.9835
93,2021-11-04 21:00:00+00:00,1.9769,1.9859,1.9835,1.9859
94,2021-11-04 22:00:00+00:00,1.9583,1.9868,1.9859,1.9839
95,2021-11-04 23:00:00+00:00,1.979,2.0121,1.9839,1.9848
96,2021-11-05 00:00:00+00:00,1.9805,2.0099,1.9848,1.9805
97,2021-11-05 01:00:00+00:00,1.9551,1.98,1.9805,1.9744
98,2021-11-05 02:00:00+00:00,1.9638,2.0038,1.9744,1.9788
99,2021-11-05 03:00:00+00:00,1.9611,2.0017,1.9788,2.0017
100,2021-11-05 04:00:00+00:00,1.9661,2.0121,2.0017,1.9894
101,2021-11-05 05:00:00+00:00,1.9901,2.0341,1.9894,2.0137
102,2021-11-05 06:00:00+00:00,1.9799,2.0192,2.0137,2.0035
103,2021-11-05 07:00:00+00:00,1.9843,2.0177,2.0035,2.0118
104,2021-11-05 08:00:00+00:00,2.0108,2.0373,2.0118,2.0373
105,2021-11-05 09:00:00+00:00,2.0007,2.0068,2.0373,2.0024
106,2021-11-05 10:00:00+00:00,1.9826,1.9956,2.0024,1.9856
107,2021-11-05 11:00:00+00:00,1.9677,1.9956,1.9856,1.9796
108,2021-11-05 12:00:00+00:00,1.9796,1.9896,1.9796,1.9846
109,2021-11-05 13:00:00+00:00,1.9778,2.0133,1.9846,2.0133
110,2021-11-05 14:00:00+00:00,1.9899,2.0274,2.0133,1.9995
111,2021-11-05 15:00:00+00:00,1.9694,2.0,1.9995,1.9694
112,2021-11-05 16:00:00+00:00,1.9647,1.9764,1.9694,1.9717
113,2021-11-05 17:00:00+00:00,1.9686,2.0048,1.9717,1.9872
114,2021-11-05 18:00:00+00:00,1.9621,2.0158,1.9872,1.9748
115,2021-11-05 19:00:00+00:00,1.9802,1.9929,1.9748,1.9895
116,2021-11-05 20:00:00+00:00,1.9611,2.0157,1.9895,1.9769
117,2021-11-05 21:00:00+00:00,1.9637,1.9928,1.9769,1.9928
118,2021-11-05 22:00:00+00:00,1.9676,1.9725,1.9928,1.9698
119,2021-11-05 23:00:00+00:00,1.9695,1.9901,1.9698,1.9728
120,2021-11-06 00:00:00+00:00,1.9655,1.9767,1.9728,1.9767
121,2021-11-06 01:00:00+00:00,1.9764,2.0241,1.9767,2.0241
122,2021-11-06 02:00:00+00:00,1.9883,2.0191,2.0241,1.9948
123,2021-11-06 03:00:00+00:00,1.9643,2.0112,1.9948,1.9827
124,2021-11-06 04:00:00+00:00,1.9811,2.0292,1.9827,2.0213
125,2021-11-06 05:00:00+00:00,2.0088,2.0384,2.0213,2.0088
126,2021-11-06 06:00:00+00:00,2.0127,2.014,2.0088,2.0138
127,2021-11-06 07:00:00+00:00,1.9915,2.0248,2.0138,2.0112
128,2021-11-06 08:00:00+00:00,1.9761,2.0219,2.0112,1.9914
129,2021-11-06 09:00:00+00:00,1.9721,2.0078,1.9914,1.9957
130,2021-11-06 10:00:00+00:00,1.9926,1.9986,1.9957,1.9986
131,2021-11-06 11:00:00+00:00,1.9601,1.9919,1.9986,1.9774
132,2021-11-06 12:00:00+00:00,1.958,1.9786,1.9774,1.9786
133,2021-11-06 13:00:00+00:00,1.9508,1.9769,1.9786,1.9531
134,2021-11-06 14:00:00+00:00,1.9436,1.9646,1.9531,1.9626
135,2021-11-06 15:00:00+00:00,1.9608,1.9686,1.9626,1.9657
136,2021-11-06 16:00:00+00:00,1.9443,1.9736,1.9657,1.9443
137,2021-11-06 17:00:00+00:00,1.9454,2.0009,1.9443,1.9715
138,2021-11-06 18:00:00+00:00,1.9551,1.9714,1.9715,1.9699
139,2021-11-06 19:00:00+00:00,1.9683,1.9765,1.9699,1.9716
140,2021-11-06 20:00:00+00:00,1.9471,1.9834,1.9716,1.9834
141,2021-11-06 21:00:00+00:00,1.9607,2.0006,1.9834,1.9607
142,2021-11-06 22:00:00+00:00,1.9879,2.0123,1.9607,1.9946
143,2021-11-06 23:00:00+00:00,1.9672,2.0144,1.9946,2.0066
144,2021-11-07 00:00:00+00:00,1.9739,2.0051,2.0066,2.0016
145,2021-11-07 01:00:00+00:00,1.9877,2.0005,2.0016,1.9945
146,2021-11-07 02:00:00+00:00,1.9894,2.0231,1.9945,1.9924
147,2021-11-07 03:00:00+00:00,1.9752,1.9924,1.9924,1.9895
148,2021-11-07 04:00:00+00:00,1.9619,2.015,1.9895,2.015
149,2021-11-07 05:00:00+00:00,1.9613,1.9938,2.015,1.9845
150,2021-11-07 06:00:00+00:00,1.9793,2.0118,1.9845,2.0118
151,2021-11-07 07:00:00+00:00,1.9614,2.0162,2.0118,1.9845
152,2021-11-07 08:00:00+00:00,1.9815,1.9875,1.9845,1.9815
153,2021-11-07 09:00:00+00:00,1.9563,2.0043,1.9815,1.9845
154,2021-11-07 10:00:00+00:00,1.9591,2.0061,1.9845,1.9945
155,2021-11-07 11:00:00+00:00,1.9615,1.9994,1.9945,1.9924
156,2021-11-07 12:00:00+00:00,1.964,1.9932,1.9924,1.9932
157,2021-11-07 13:00:00+00:00,1.989,2.0209,1.9932,1.9939
158,2021-11-07 14:00:00+00:00,1.9898,2.0092,1.9939,1.9958
159,2021-11-07 15:00:00+00:00,1.9869,2.0157,1.9958,2.0125
160,2021-11-07 16:00:00+00:00,1.9802,2.0413,2.0125,2.0328
161,2021-11-07 17:00:00+00:00,2.0197,2.0258,2.0328,2.0197
162,2021-11-07 18:00:00+00:00,1.9956,2.0485,2.0197,2.0118
