,time,low,high,open,close
0,2021-03-03 04:00:00+00:00,,,,
1,2021-03-03 05:00:00+00:00,,,,
2,2021-03-03 06:00:00+00:00,,,,
3,2021-03-03 07:00:00+00:00,1.23551,1.23836,1.23551,1.23836
4,2021-03-03 08:00:00+00:00,1.23836,1.23836,1.23836,1.23836
5,2021-03-03 09:00:00+00:00,1.23836,1.23836,1.23836,1.23836
6,2021-03-03 10:00:00+00:00,1.23836,1.23836,1.23836,1.23836
7,2021-03-03 11:00:00+00:00,1.23836,1.23836,1.23836,1.23836
8,2021-03-03 12:00:00+00:00,1.23836,1.23836,1.23836,1.23836
9,2021-03-03 13:00:00+00:00,1.23836,1.23836,1.23836,1.23836
10,2021-03-03 14:00:00+00:00,1.23836,1.23836,1.23836,1.23836
11,2021-03-03 15:00:00+00:00,1.23836,1.23836,1.23836,1.23836
12,2021-03-03 16:00:00+00:00,1.23836,1.23836,1.23836,1.23836
13,2021-03-03 17:00:00+00:00,1.23203,1.23474,1.23836,1.23203
14,2021-03-03 18:00:00+00:00,1.22892,1.24985,1.23203,1.22892
15,2021-03-03 19:00:00+00:00,1.23465,1.25688,1.22892,1.25098
16,2021-03-03 20:00:00+00:00,1.23408,1.24435,1.25098,1.23408
17,2021-03-03 21:00:00+00:00,1.23408,1.23408,1.23408,1.23408
18,2021-03-03 22:00:00+00:00,1.23408,1.23408,1.23408,1.23408
19,2021-03-03 23:00:00+00:00,1.23408,1.23408,1.23408,1.23408
20,2021-03-04 00:00:00+00:00,1.22481,1.22481,1.23408,1.22481
21,2021-03-04 01:00:00+00:00,1.22481,1.22481,1.22481,1.22481
22,2021-03-04 02:00:00+00:00,1.22481,1.22481,1.22481,1.22481
23,2021-03-04 03:00:00+00:00,1.22481,1.22481,1.22481,1.22481
24,2021-03-04 04:00:00+00:00,1.22481,1.22481,1.22481,1.22481
25,2021-03-04 05:00:00+00:00,1.22481,1.22481,1.22481,1.22481
26,2021-03-04 06:00:00+00:00,1.22481,1.22481,1.22481,1.22481
27,2021-03-04 07:00:00+00:00,1.22481,1.22481,1.22481,1.22481
28,2021-03-04 08:00:00+00:00,1.22481,1.22481,1.22481,1.22481
29,2021-03-04 09:00:00+00:00,1.22481,1.22481,1.22481,1.22481
30,2021-03-04 10:00:00+00:00,1.24084,1.25688,1.22481,1.24084
31,2021-03-04 11:00:00+00:00,1.24084,1.24084,1.24084,1.24084
32,2021-03-04 12:00:00+00:00,1.24084,1.24084,1.24084,1.24084
33,2021-03-04 13:00:00+00:00,1.24084,1.24084,1.24084,1.24084
34,2021-03-04 14:00:00+00:00,1.24084,1.24084,1.24084,1.24084
35,2021-03-04 15:00:00+00:00,1.24084,1.24084,1.24084,1.24084
36,2021-03-04 16:00:00+00:00,1.24084,1.24084,1.24084,1.24084
37,2021-03-04 17:00:00+00:00,1.24084,1.24084,1.24084,1.24084
38,2021-03-04 18:00:00+00:00,1.24084,1.24084,1.24084,1.24084
39,2021-03-04 19:00:00+00:00,1.24084,1.24084,1.24084,1.24084
40,2021-03-04 20:00:00+00:00,1.24084,1.24084,1.24084,1.24084
41,2021-03-04 21:00:00+00:00,1.24886,1.25688,1.24084,1.25688
42,2021-03-04 22:00:00+00:00,1.25688,1.25688,1.25688,1.25688
